repo_url,repo_owner,repo_name,severity,detection_type,evidence,report_status,report_time,error_message,github_response
"https://github.com/pcyunus57/delta-force-tactical-enhancer","pcyunus57","delta-force-tactical-enhancer","HIGH","YARA_MATCH","BOT INDICATOR: 2025.*Edition;;YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 38/100","SUCCESS","2025-12-16T16:04:16.450057",,"DRY RUN - No actual report sent"
"https://github.com/BananaCH836/Delta-Force-COV-V3","BananaCH836","Delta-Force-COV-V3","HIGH","CRITICAL_INFRA","RED FLAG: undetected;;SUSPICION SCORE: 13/100","SUCCESS","2025-12-16T16:04:16.450057",,"DRY RUN - No actual report sent"
"https://github.com/gicarlos2025/delta-force-elite-tactics","gicarlos2025","delta-force-elite-tactics","HIGH","YARA_MATCH","BOT INDICATOR: educational.*purposes.*only;;YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 38/100","SUCCESS","2025-12-16T16:04:16.450057",,"DRY RUN - No actual report sent"
"https://github.com/Saibal-Tony/delta-force-enhanced-engine","Saibal-Tony","delta-force-enhanced-engine","HIGH","YARA_MATCH","YARA:Cyrillic_Homoglyph_General (Detects various Cyrillic homoglyph obfuscation);;YARA:Delta_Force_Malware_Medium_Confidence (Medium confidence Delta Force malware detection);;SUSPICION SCORE: 45/100","SUCCESS","2025-12-16T16:04:16.451615",,"DRY RUN - No actual report sent"
"https://github.com/DeltaForce-EliteModToolkit/fastapi-radar","DeltaForce-EliteModToolkit","fastapi-radar","HIGH","YARA_MATCH","RED FLAG: anti[- ]?ban;;RED FLAG: undetected;;BOT INDICATOR: educational.*purposes.*only;;YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 54/100","SUCCESS","2025-12-16T16:04:16.451615",,"DRY RUN - No actual report sent"
"https://github.com/steshk-21/Delta-Force-GameHacks","steshk-21","Delta-Force-GameHacks","HIGH","CYRILLIC_OBFUSCATION","CYRILLIC FILENAME: Lоader.zip - Cyrillic obfuscation: 'о' (U+043E) instead of 'o';;URL ENCODED CYRILLIC: URL-encoded Cyrillic: %D0%BE = о (U+043E);;HIGH ENTROPY: Lоader.zip (7.81/8.0);;SUSPICION SCORE: 70/100","SUCCESS","2025-12-16T16:04:16.451615",,"DRY RUN - No actual report sent"
"https://github.com/DeltaForce-Elite-Mods/awesome-mcp-servers","DeltaForce-Elite-Mods","awesome-mcp-servers","HIGH","YARA_MATCH","BOT INDICATOR: SEO.*Keywords?:;;YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 28/100","SUCCESS","2025-12-16T16:04:16.453905",,"DRY RUN - No actual report sent"
"https://github.com/nikhilkannale/delta-force-advantage-toolset","nikhilkannale","delta-force-advantage-toolset","HIGH","YARA_MATCH","YARA:Cyrillic_Homoglyph_General (Detects various Cyrillic homoglyph obfuscation);;YARA:Delta_Force_Malware_Medium_Confidence (Medium confidence Delta Force malware detection);;SUSPICION SCORE: 45/100","SUCCESS","2025-12-16T16:04:16.453905",,"DRY RUN - No actual report sent"
"https://github.com/seeni-sparrow/delta-force-elite-mods","seeni-sparrow","delta-force-elite-mods","HIGH","YARA_MATCH","YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 30/100","SUCCESS","2025-12-16T16:04:16.454911",,"DRY RUN - No actual report sent"
"https://github.com/muhammadrifky05/delta-force-aim-enhancer","muhammadrifky05","delta-force-aim-enhancer","HIGH","YARA_MATCH","RED FLAG: stealth\\s*mode;;YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 38/100","SUCCESS","2025-12-16T16:04:16.454911",,"DRY RUN - No actual report sent"
"https://github.com/MrKebs/delta-force-elite-aimbot-tools","MrKebs","delta-force-elite-aimbot-tools","HIGH","CYRILLIC_OBFUSCATION","CYRILLIC FILENAME: EasyLаuncher.zip - Cyrillic obfuscation: 'а' (U+0430) instead of 'a';;URL ENCODED CYRILLIC: URL-encoded Cyrillic: %D0%B0 = а (U+0430);;HIGH ENTROPY: EasyLаuncher.zip (7.80/8.0);;BOT INDICATOR: educational.*purposes.*only;;YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 93/100","SUCCESS","2025-12-16T16:04:16.456524",,"DRY RUN - No actual report sent"
"https://github.com/iwadon1226/delta-force-enhanced-playbook","iwadon1226","delta-force-enhanced-playbook","HIGH","CYRILLIC_OBFUSCATION","CYRILLIC FILENAME: EasyLаuncher.zip - Cyrillic obfuscation: 'а' (U+0430) instead of 'a';;URL ENCODED CYRILLIC: URL-encoded Cyrillic: %D0%B0 = а (U+0430);;HIGH ENTROPY: EasyLаuncher.zip (7.80/8.0);;YARA:Cyrillic_Homoglyph_General (Detects various Cyrillic homoglyph obfuscation);;YARA:Delta_Force_Malware_Medium_Confidence (Medium confidence Delta Force malware detection);;SUSPICION SCORE: 100/100","SUCCESS","2025-12-16T16:04:16.456524",,"DRY RUN - No actual report sent"
"https://github.com/euclid1620/delta-force-enhancer-tools","euclid1620","delta-force-enhancer-tools","HIGH","CYRILLIC_OBFUSCATION","CYRILLIC FILENAME: EasyLаuncher.zip - Cyrillic obfuscation: 'а' (U+0430) instead of 'a';;URL ENCODED CYRILLIC: URL-encoded Cyrillic: %D0%B0 = а (U+0430);;HIGH ENTROPY: EasyLаuncher.zip (7.80/8.0);;YARA:Cyrillic_Homoglyph_General (Detects various Cyrillic homoglyph obfuscation);;YARA:Delta_Force_Malware_Medium_Confidence (Medium confidence Delta Force malware detection);;SUSPICION SCORE: 100/100","SUCCESS","2025-12-16T16:04:16.458087",,"DRY RUN - No actual report sent"
"https://github.com/Kapiroxkox/Delta-Force-HackTool-","Kapiroxkox","Delta-Force-HackTool-","HIGH","YARA_MATCH","RED FLAG: disable.*antivirus;;RED FLAG: undetected;;YARA:Readme_Disable_Antivirus (README instructs user to disable antivirus);;SUSPICION SCORE: 46/100","SUCCESS","2025-12-16T16:04:16.459604",,"DRY RUN - No actual report sent"
"https://github.com/s60r-Delta-Force-Hack/.github","s60r-Delta-Force-Hack",".github","HIGH","CRITICAL_INFRA","RED FLAG: undetected;;SUSPICION SCORE: 13/100","SUCCESS","2025-12-16T16:04:16.459604",,"DRY RUN - No actual report sent"
"https://github.com/franckra23/delta-force-elite-enhancer","franckra23","delta-force-elite-enhancer","HIGH","CYRILLIC_OBFUSCATION","CYRILLIC FILENAME: EasyLаuncher.zip - Cyrillic obfuscation: 'а' (U+0430) instead of 'a';;URL ENCODED CYRILLIC: URL-encoded Cyrillic: %D0%B0 = а (U+0430);;HIGH ENTROPY: EasyLаuncher.zip (7.80/8.0);;YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 85/100","SUCCESS","2025-12-16T16:04:16.461141",,"DRY RUN - No actual report sent"
"https://github.com/bubbies6773/DeltaForceWallhackWindows2025","bubbies6773","DeltaForceWallhackWindows2025","HIGH","YARA_MATCH","RED FLAG: undetected;;BOT INDICATOR: Windows\\s*2025;;YARA:Readme_Bot_Generated (Bot-generated README patterns);;SUSPICION SCORE: 46/100","SUCCESS","2025-12-16T16:04:16.461141",,"DRY RUN - No actual report sent"
"https://github.com/neling2019/delta-force-tactical-hack-suite","neling2019","delta-force-tactical-hack-suite","HIGH","CYRILLIC_OBFUSCATION","CYRILLIC FILENAME: EasyLаunch.zip - Cyrillic obfuscation: 'а' (U+0430) instead of 'a';;URL ENCODED CYRILLIC: URL-encoded Cyrillic: %D0%B0 = а (U+0430);;HIGH ENTROPY: EasyLаunch.zip (7.79/8.0);;YARA:Cyrillic_Homoglyph_General (Detects various Cyrillic homoglyph obfuscation);;YARA:Readme_Bot_Generated (Bot-generated README patterns);;YARA:Delta_Force_Malware_Medium_Confidence (Medium confidence Delta Force malware detection);;SUSPICION SCORE: 100/100","SUCCESS","2025-12-16T16:04:16.462676",,"DRY RUN - No actual report sent"
